stopID,directionC,direction,stopName,stopAddr,distance,note,mileage
1,往程,0,臺北客運板橋前站(藝文),板橋區中正路379巷與藝文一街路口,0,,0
2,往程,0,新月橋,板橋區環河西路5段與新月一街口(路燈定位編號026796號旁),600,,600
3,往程,0,板橋國中,板橋區中正路342號對面,600,,1200
4,往程,0,港尾,板橋區中正路347號,400,,1600
5,往程,0,港尾福德宮,板橋區中正路295號,200,,1800
6,往程,0,大庭新村,板橋區中正路191號,250,,2050
7,往程,0,社后,板橋區中正路115號,250,,2300
8,往程,0,板橋戶政事務所,板橋區中正路 27號,300,,2600
9,,1,(黃石中繼市場),,,,2600
10,往程,0,北門街,板橋區北門街15號前,300,,2900
11,往程,0,捷運府中站,板橋區府中路45號,250,,3150
12,往程,0,萬坪公園,板橋區文化路一段53號對面,650,,3800
13,往程,0,新北板橋公車站,板橋區板橋公車車站第1月台,350,,4150
14,往程,0,新北市政府,新北市政府西側門對面(新府路),300,,4450
15,往程,0,深丘里(板橋放送所),板橋區區運路7號,450,站位更名,4900
16,往程,0,民族區運路口,板橋區民族路166號,650,,5550
17,往程,0,電信訓練所,板橋區民族路204號,300,,5850
18,往程,0,國泰街口,板橋區民族路298號,200,,6050
19,往程,0,環球購物中心,中和區中山路三段173號,250,,6300
20,往程,0,板橋監理站,中和區中山路三段81號,250,,6550
21,往程,0,積穗,中和區中山路三段35號,400,,6950
22,往程,0,積穗派出所,中和區員山路471號,,,6950
23,往程,0,員山公園,中和區員山路368號對面,300,,7250
24,往程,0,積穗國中,中和區員山路323號,200,,7450
25,往程,0,員山派出所,中和區員山路221號,300,,7750
26,往程,0,中和高中(員山路),中和區員山路141號,250,,8000
27,往程,0,連城路,中和區連城路485號,350,,8350
28,往程,0,連城中正路口,中和區連城路457號前,300,,8650
29,往程,0,連城錦和路口,中和區連城路283號,400,暫時裁撤,9050
30,往程,0,台貿一村,中和區連城路261-4號,250,,9300
31,往程,0,中和國稅局,中和區連城路173號,400,,9700
32,往程,0,連城景平路,中和區連城路105號,250,暫時裁撤,9950
33,往程,0,捷運中和站,中和區景平路696號,300,,10250
34,往程,0,華中橋,中和區景平路722號,300,,10550
35,往程,0,果菜市場,臺北市萬大路503號前,2800,,13350
36,往程,0,萬大國小,臺北市萬大路333-335號,350,,13700
37,往程,0,德昌街口,臺北市萬大路291-297號,350,,14050
38,往程,0,西藏路口,臺北市萬大路143-147號,350,,14400
39,往程,0,萬大路,臺北市萬大路69號,300,,14700
40,往程,0,莒光派出所,臺北市莒光路145號,340,,15040
41,往程,0,大埔街,臺北市中華路二段111號,300,,15340
42,往程,0,聯合醫院和平院區,臺北市中正區中華路2段33號,400,,15740
43,往程,0,捷運西門站,中華路一段寶慶路口公車專用道,300,,16040
44,往程,0,中華路北站,中華路一段漢口街口公車專用道,400,,16440
45,往程,0,臺北車站(忠孝),臺北市忠孝西路一段66號,400,,16840
46,往程,0,行政院,臺北市鎮江街2號,500,,17340
47,往程,0,青島林森路口,臺北市青島東路8號,300,,17640
48,往程,0,北平林森路口 ,臺北市北平東路林森北路東北角,350,,17990
49,往程,0,華山公園,臺北市林森北路37巷口,350,,18340
50,往程,0,林森北路一,臺北市林森北路111號,300,,18640
51,往程,0,南京吉林路口,臺北市南京東路公車專用道,300,,18940
52,往程,0,捷運松江南京站,臺北市南京東路公車專用道,300,,19240
53,往程,0,南京建國路口,臺北市南京東路公車專用道,300,,19540
54,往程,0,南京龍江路口,臺北市南京東路公車專用道,300,,19840
55,往程,0,捷運南京復興站,臺北市南京東路公車專用道,400,,20240
56,往程,0,南京敦化路口(小巨蛋),臺北市南京東路公車專用道,450,,20690
57,往程,0,南京寧安街口,臺北市南京東路公車專用道,600,,21290
58,往程,0,南京三民路口,臺北市南京東路五段58號,450,,21740
59,往程,0,南京公寓,臺北市南京東路五段266號,300,,22040
60,往程,0,南松山(南京),臺北市松山區南京東路5段348號,450,,22490
61,往程,0,南松山(塔悠),臺北市塔悠路89號,400,,22890
62,往程,0,發電所,臺北市塔悠路157號,300,,23190
63,,1,(西松高中),,,,23190
64,往程,0,新東里,臺北市塔悠路195號,300,,23490
65,往程,0,民生國中,臺北市撫遠街215號前,300,,23790
66,往程,0,新益里,臺北市富錦街571巷18號,300,,24090
67,往程,0,莊敬里,臺北市撫遠街399巷南側10公尺,300,,24390
68,返程,1,莊敬里,臺北市撫遠街394巷1號,0,,24390
69,返程,1,新益里,臺北市撫遠街346號,300,,24690
70,返程,1,民生國中,臺北市撫遠街232號,200,,24890
71,返程,1,新東里,臺北市塔悠路214號,300,,25190
72,返程,1,發電所,臺北市塔悠路140號,400,,25590
73,返程,1,南松山(塔悠),臺北市塔悠路82號,300,,25890
74,返程,1,南松山(南京),臺北市南京東路五段387號,350,,26240
75,返程,1,南京公寓,臺北市南京東路五段309號,300,,26540
76,返程,1,南京三民路口,臺北市南京東路公車專用道,300,,26840
77,返程,1,南京寧安街口,臺北市南京東路公車專用道,750,,27590
78,返程,1,南京敦化路口(小巨蛋),臺北市南京東路公車專用道,550,,28140
79,返程,1,捷運南京復興站,臺北市南京東路公車專用道,430,,28570
80,返程,1,南京龍江路口,臺北市南京東路公車專用道,400,,28970
81,返程,1,南京建國路口,臺北市南京東路公車專用道,300,,29270
82,返程,1,捷運松江南京站,臺北市南京東路公車專用道,300,,29570
83,返程,1,南京吉林路口,臺北市南京東路公車專用道,300,,29870
84,返程,1,南京林森路口,臺北市南京東路公車專用道,300,,30170
85,返程,1,中山市場,臺北市中山北路一段128號,500,,30670
86,返程,1,行政院,臺北市中山北路一段25號,400,,31070
87,返程,1,臺北車站(忠孝),臺北市忠孝西路一段50號對面,700,,31770
88,返程,1,中華路北站,中華路一段漢口街口公車專用道,400,,32170
89,返程,1,捷運西門站,中華路一段寶慶路口公車專用道,400,,32570
90,返程,1,小南門,中華路一段愛國西路口公車專用道,300,,32870
91,返程,1,聯合醫院和平院區,臺北市中華路二段15號對面,300,,33170
92,返程,1,大埔街,臺北市中華路二段66號,400,,33570
93,返程,1,莒光派出所,臺北市莒光路132號,300,,33870
94,返程,1,萬大路,臺北市萬大路76號,300,,34170
95,返程,1,西藏路口,臺北市萬大路140-152號,300,,34470
96,返程,1,德昌街口,臺北市萬大路298-310號,350,,34820
97,返程,1,萬大國小,臺北市萬大路334號,350,,35170
98,返程,1,果菜市場,臺北市萬大路478號,350,,35520
99,返程,1,華中橋,中和區景平路695號,2800,,38320
100,返程,1,捷運中和站,中和區景平路696號對面,300,,38620
101,返程,1,連城景平路,中和區連城路140號,300,暫時裁撤,38920
102,返程,1,中和國稅局,中和區連城路146號對面,200,,39120
103,返程,1,台貿一村,中和區連城路192號,400,,39520
104,返程,1,連城錦和路口,中和區連城路224-12號對面,200,暫時裁撤,39720
105,返程,1,連城中正路口,中和區連城路292號前,400,,40120
106,返程,1,連城路,中和區連城路344號,300,,40420
107,返程,1,中和高中,中和區員山路144號,360,,40780
108,返程,1,員山派出所,中和區員山路150-22號,250,,41030
109,返程,1,積穗國中,中和區員山路208號,300,,41330
110,返程,1,員山公園,中和區員山路370-374號,200,,41530
111,返程,1,積穗,中和區中山路三段38號,300,,41830
112,返程,1,板橋監理站,中和區中山路三段104號,400,,42230
113,返程,1,環球購物中心,中和區中山路三段126號,250,,42480
114,返程,1,國泰街口,板橋區民族路261號,250,,42730
115,返程,1,電信訓練所,板橋區民族路105號,200,,42930
116,返程,1,民族區運路口,板橋區民族路77號,300,,43230
117,返程,1,深丘里(板橋放送所),板橋區區運路24號,150,站位更名,43380
118,返程,1,新北市政府,新北市政府西側門外(新府路),400,,43780
119,返程,1,新北板橋公車站,板橋區板橋公車車站第3月台,600,,44380
120,返程,1,萬坪公園,板橋區文化路一段53號,300,,44680
121,返程,1,北門街,板橋區北門街37號,470,,45150
122,返程,1,板橋戶政事務所(黃石中繼市場),板橋區中正路 27號對面,300,,45450
123,返程,1,社后,板橋區中正路100號,300,,45750
124,返程,1,大庭新村,板橋區中正路188號,250,,46000
125,返程,1,港尾福德宮,板橋區中正路244號,250,,46250
126,返程,1,港尾,板橋區中正路345號對面,200,,46450
127,返程,1,板橋國中,板橋區中正路332-10號及332-11號間,200,,46650
128,返程,1,名來新城,板橋區中正路438之7號,250,,46900
129,返程,1,臺北客運板橋前站(藝文),板橋區中正路379巷與藝文一街路口,1100,,48000
,,,,,,,
